date,season,location,team1,team2,score1,score2,result
11-08-2023,2023,H,BUR,MNC,0,3,0.0
12-08-2023,2023,H,ARS,NTG,2,1,1.0
12-08-2023,2023,H,BOU,WHU,1,1,0.5
12-08-2023,2023,H,BRH,LUT,4,1,1.0
12-08-2023,2023,H,EVE,FUL,0,1,0.0
12-08-2023,2023,H,SHU,CRY,0,1,0.0
12-08-2023,2023,H,NEW,AVA,5,1,1.0
13-08-2023,2023,H,BRE,TOT,2,2,0.5
13-08-2023,2023,H,CHE,LIV,1,1,0.5
14-08-2023,2023,H,MUN,WLV,1,0,1.0
18-08-2023,2023,H,NTG,SHU,2,1,1.0
19-08-2023,2023,H,FUL,BRE,0,3,0.0
19-08-2023,2023,H,LIV,BOU,3,1,1.0
19-08-2023,2023,H,WLV,BRH,1,4,0.0
19-08-2023,2023,H,TOT,MUN,2,0,1.0
19-08-2023,2023,H,MNC,NEW,1,0,1.0
20-08-2023,2023,H,AVA,EVE,4,0,1.0
20-08-2023,2023,H,WHU,CHE,3,1,1.0
21-08-2023,2023,H,CRY,ARS,0,1,0.0
25-08-2023,2023,H,CHE,LUT,3,0,1.0
26-08-2023,2023,H,BOU,TOT,0,2,0.0
26-08-2023,2023,H,ARS,FUL,2,2,0.5
26-08-2023,2023,H,BRE,CRY,1,1,0.5
26-08-2023,2023,H,EVE,WLV,0,1,0.0
26-08-2023,2023,H,MUN,NTG,3,2,1.0
26-08-2023,2023,H,BRH,WHU,1,3,0.0
27-08-2023,2023,H,BUR,AVA,1,3,0.0
27-08-2023,2023,H,SHU,MNC,1,2,0.0
27-08-2023,2023,H,NEW,LIV,1,2,0.0
01-09-2023,2023,H,LUT,WHU,1,2,0.0
02-09-2023,2023,H,SHU,EVE,2,2,0.5
02-09-2023,2023,H,BRE,BOU,2,2,0.5
02-09-2023,2023,H,BUR,TOT,2,5,0.0
02-09-2023,2023,H,CHE,NTG,0,1,0.0
02-09-2023,2023,H,MNC,FUL,5,1,1.0
02-09-2023,2023,H,BRH,NEW,3,1,1.0
03-09-2023,2023,H,CRY,WLV,3,2,1.0
03-09-2023,2023,H,LIV,AVA,3,0,1.0
03-09-2023,2023,H,ARS,MUN,3,1,1.0
11-08-2023,2023,A,MNC,BUR,3,0,1.0
12-08-2023,2023,A,NTG,ARS,1,2,0.0
12-08-2023,2023,A,WHU,BOU,1,1,0.5
12-08-2023,2023,A,LUT,BRH,1,4,0.0
12-08-2023,2023,A,FUL,EVE,1,0,1.0
12-08-2023,2023,A,CRY,SHU,1,0,1.0
12-08-2023,2023,A,AVA,NEW,1,5,0.0
13-08-2023,2023,A,TOT,BRE,2,2,0.5
13-08-2023,2023,A,LIV,CHE,1,1,0.5
14-08-2023,2023,A,WLV,MUN,0,1,0.0
18-08-2023,2023,A,SHU,NTG,1,2,0.0
19-08-2023,2023,A,BRE,FUL,3,0,1.0
19-08-2023,2023,A,BOU,LIV,1,3,0.0
19-08-2023,2023,A,BRH,WLV,4,1,1.0
19-08-2023,2023,A,MUN,TOT,0,2,0.0
19-08-2023,2023,A,NEW,MNC,0,1,0.0
20-08-2023,2023,A,EVE,AVA,0,4,0.0
20-08-2023,2023,A,CHE,WHU,1,3,0.0
21-08-2023,2023,A,ARS,CRY,1,0,1.0
25-08-2023,2023,A,LUT,CHE,0,3,0.0
26-08-2023,2023,A,TOT,BOU,2,0,1.0
26-08-2023,2023,A,FUL,ARS,2,2,0.5
26-08-2023,2023,A,CRY,BRE,1,1,0.5
26-08-2023,2023,A,WLV,EVE,1,0,1.0
26-08-2023,2023,A,NTG,MUN,2,3,0.0
26-08-2023,2023,A,WHU,BRH,3,1,1.0
27-08-2023,2023,A,AVA,BUR,3,1,1.0
27-08-2023,2023,A,MNC,SHU,2,1,1.0
27-08-2023,2023,A,LIV,NEW,2,1,1.0
01-09-2023,2023,A,WHU,LUT,2,1,1.0
02-09-2023,2023,A,EVE,SHU,2,2,0.5
02-09-2023,2023,A,BOU,BRE,2,2,0.5
02-09-2023,2023,A,TOT,BUR,5,2,1.0
02-09-2023,2023,A,NTG,CHE,1,0,1.0
02-09-2023,2023,A,FUL,MNC,1,5,0.0
02-09-2023,2023,A,NEW,BRH,1,3,0.0
03-09-2023,2023,A,WLV,CRY,2,3,0.0
03-09-2023,2023,A,AVA,LIV,0,3,0.0
03-09-2023,2023,A,MUN,ARS,1,3,0.0
